reference_predicted_price,item_name,item_wear,item_is_stattrak,item_rarity,item_quality,item_float_value,item_paint_index
69349,★ M9 Bayonet | Tiger Tooth (Factory New),Factory New,False,6,3,0.019952232018113136,409
51634,★ M9 Bayonet | Black Laminate (Field-Tested),Field-Tested,False,6,3,0.18687856197357178,567
56573,★ Talon Knife | Marble Fade (Factory New),Factory New,False,6,3,0.011703087948262691,856
59034,★ Bayonet | Doppler (Factory New),Factory New,False,6,3,0.023221086710691452,419
8185,★ Nomad Knife | Forest DDPAT (Field-Tested),Field-Tested,False,6,3,0.2264968305826187,5
22779,★ Stiletto Knife | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.3339187502861023,44
15219,★ Huntsman Knife | Night (Minimal Wear),Minimal Wear,False,6,3,0.09593737870454788,40
15885,★ Nomad Knife | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.31273776292800903,44
27257,★ Stiletto Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.03026113472878933,409
6066,★ Navaja Knife | Blue Steel (Minimal Wear),Minimal Wear,False,6,3,0.09034758061170578,42
7136,★ Falchion Knife | Bright Water (Field-Tested),Field-Tested,False,6,3,0.17642703652381897,579
33604,★ Skeleton Knife | Crimson Web (Field-Tested),Field-Tested,False,6,3,0.1605808585882187,12
87705,★ StatTrak™ Butterfly Knife | Autotronic (Field-Tested),Field-Tested,True,6,3,0.2525350749492645,1115
8408,★ StatTrak™ Nomad Knife | Forest DDPAT (Field-Tested),Field-Tested,True,6,3,0.23282749950885773,5
7938,★ Paracord Knife | Night Stripe (Minimal Wear),Minimal Wear,False,6,3,0.0747743770480156,735
33644,★ Stiletto Knife | Slaughter (Minimal Wear),Minimal Wear,False,6,3,0.12637005746364594,59
47871,★ Talon Knife | Case Hardened (Minimal Wear),Minimal Wear,False,6,3,0.11434243619441986,44
32962,★ Stiletto Knife | Blue Steel (Factory New),Factory New,False,6,3,0.008783924393355846,42
42860,★ Flip Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.04394751042127609,572
10023,★ Survival Knife | Crimson Web (Field-Tested),Field-Tested,False,6,3,0.19177797436714172,12
68530,★ Karambit | Blue Steel (Battle-Scarred),Battle-Scarred,False,6,3,0.4709673523902893,42
42929,★ M9 Bayonet | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.3252285122871399,411
23502,★ Bowie Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.051411304622888565,570
47240,★ Talon Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.035630907863378525,409
71181,★ Butterfly Knife | Freehand (Factory New),Factory New,False,6,3,0.031935177743434906,581
10560,★ Huntsman Knife | Ultraviolet (Minimal Wear),Minimal Wear,False,6,3,0.14377067983150482,620
8731,★ Bowie Knife | Freehand (Factory New),Factory New,False,6,3,0.06240493804216385,581
